일시,검색량(건),지역
09,20724,울산광역시 울주군
10,23241,울산광역시 울주군
11,20399,울산광역시 울주군
12,19517,울산광역시 울주군
05,8481,전라남도 구례군
06,8151,전라남도 구례군
07,7368,전라남도 구례군
08,10278,전라남도 구례군
09,8132,전라남도 구례군
10,9103,전라남도 구례군
11,7246,전라남도 구례군
12,6042,전라남도 구례군
05,16223,전라남도 나주시
06,15729,전라남도 나주시
07,16444,전라남도 나주시
08,17743,전라남도 나주시
09,15823,전라남도 나주시
10,19558,전라남도 나주시
11,15502,전라남도 나주시
12,16355,전라남도 나주시
05,21156,전라남도 담양군
06,19435,전라남도 담양군
07,19499,전라남도 담양군
08,22739,전라남도 담양군
09,22910,전라남도 담양군
10,26250,전라남도 담양군
11,23859,전라남도 담양군
12,22482,전라남도 담양군
05,33554,전라남도 목포시
06,35345,전라남도 목포시
07,38441,전라남도 목포시
08,38554,전라남도 목포시
09,32850,전라남도 목포시
10,38428,전라남도 목포시
11,36229,전라남도 목포시
12,34309,전라남도 목포시
05,10023,전라남도 보성군
06,10616,전라남도 보성군
07,9832,전라남도 보성군
08,8263,전라남도 보성군
09,8060,전라남도 보성군
10,9231,전라남도 보성군
11,8186,전라남도 보성군
12,9343,전라남도 보성군
05,45364,전라남도 순천시
06,47549,전라남도 순천시
07,44471,전라남도 순천시
08,47672,전라남도 순천시
09,44116,전라남도 순천시
10,51306,전라남도 순천시
11,46293,전라남도 순천시
12,44114,전라남도 순천시
05,7099,전라남도 신안군
06,10127,전라남도 신안군
07,9508,전라남도 신안군
08,8279,전라남도 신안군
09,7870,전라남도 신안군
10,10422,전라남도 신안군
11,6987,전라남도 신안군
12,7034,전라남도 신안군
05,58669,전라남도 여수시
06,61407,전라남도 여수시
07,63423,전라남도 여수시
08,71238,전라남도 여수시
09,55111,전라남도 여수시
10,59230,전라남도 여수시
11,54071,전라남도 여수시
12,58837,전라남도 여수시
05,9264,전라남도 영광군
06,10028,전라남도 영광군
07,9623,전라남도 영광군
08,9895,전라남도 영광군
09,12163,전라남도 영광군
10,11277,전라남도 영광군
11,7874,전라남도 영광군
12,7897,전라남도 영광군
05,6074,전라남도 영암군
06,7324,전라남도 영암군
07,6643,전라남도 영암군
08,6953,전라남도 영암군
09,8753,전라남도 영암군
10,7406,전라남도 영암군
11,8161,전라남도 영암군
12,6663,전라남도 영암군
05,7822,전라남도 완도군
06,7313,전라남도 완도군
07,8507,전라남도 완도군
08,8474,전라남도 완도군
09,6719,전라남도 완도군
10,6392,전라남도 완도군
11,6358,전라남도 완도군
12,6546,전라남도 완도군
05,9136,전라남도 장성군
06,9535,전라남도 장성군
07,8948,전라남도 장성군
08,9036,전라남도 장성군
09,8884,전라남도 장성군
10,13289,전라남도 장성군
11,8707,전라남도 장성군
12,8364,전라남도 장성군
05,12503,전라남도 장흥군
06,11550,전라남도 장흥군
07,13603,전라남도 장흥군
08,13086,전라남도 장흥군
09,12671,전라남도 장흥군
10,12469,전라남도 장흥군
11,11439,전라남도 장흥군
12,11053,전라남도 장흥군
05,11148,전라남도 진도군
06,8348,전라남도 진도군
07,9394,전라남도 진도군
08,9264,전라남도 진도군
09,8464,전라남도 진도군
10,7372,전라남도 진도군
11,6627,전라남도 진도군
12,7681,전라남도 진도군
05,6105,전라남도 함평군
06,7460,전라남도 함평군
07,6368,전라남도 함평군
08,6194,전라남도 함평군
09,5785,전라남도 함평군
10,6443,전라남도 함평군
11,5670,전라남도 함평군
12,5467,전라남도 함평군
05,16692,전라남도 해남군
06,15706,전라남도 해남군
07,17853,전라남도 해남군
08,17356,전라남도 해남군
09,14425,전라남도 해남군
10,16226,전라남도 해남군
11,17150,전라남도 해남군
12,16156,전라남도 해남군
05,9697,전라남도 화순군
06,8523,전라남도 화순군
07,9121,전라남도 화순군
08,9785,전라남도 화순군
09,9212,전라남도 화순군
10,10631,전라남도 화순군
11,9080,전라남도 화순군
12,8795,전라남도 화순군
01,16044,경상북도 경산시
02,16574,경상북도 경산시
03,21046,경상북도 경산시
04,25124,경상북도 경산시
05,27995,경상북도 경산시
06,24494,경상북도 경산시
07,22361,경상북도 경산시
08,24535,경상북도 경산시
09,22853,경상북도 경산시
10,23480,경상북도 경산시
11,22683,경상북도 경산시
12,20629,경상북도 경산시
01,55742,경상북도 경주시
02,57154,경상북도 경주시
03,71354,경상북도 경주시
04,74203,경상북도 경주시
05,83892,경상북도 경주시
06,86443,경상북도 경주시
07,92319,경상북도 경주시
08,108905,경상북도 경주시
09,101390,경상북도 경주시
10,107946,경상북도 경주시
11,103500,경상북도 경주시
12,95347,경상북도 경주시
01,5672,경상북도 고령군
02,5510,경상북도 고령군
03,7751,경상북도 고령군
04,6736,경상북도 고령군
05,6642,경상북도 고령군
06,6346,경상북도 고령군
07,6747,경상북도 고령군
08,7762,경상북도 고령군
09,5922,경상북도 고령군
10,7890,경상북도 고령군
11,7490,경상북도 고령군
12,7349,경상북도 고령군
01,22931,경상북도 구미시
02,24882,경상북도 구미시
03,28818,경상북도 구미시
04,25572,경상북도 구미시
05,30613,경상북도 구미시
06,28469,경상북도 구미시
07,27943,경상북도 구미시
08,31461,경상북도 구미시
09,28627,경상북도 구미시
10,31870,경상북도 구미시
11,30084,경상북도 구미시
12,29747,경상북도 구미시
01,15405,울산광역시 울주군
02,16549,울산광역시 울주군
03,20140,울산광역시 울주군
04,18966,울산광역시 울주군
05,21163,울산광역시 울주군
06,20860,울산광역시 울주군
07,23051,울산광역시 울주군
08,26107,울산광역시 울주군
09,20724,울산광역시 울주군
10,23241,울산광역시 울주군
11,20399,울산광역시 울주군
12,19517,울산광역시 울주군
01,10123,경상북도 김천시
02,9262,경상북도 김천시
03,10813,경상북도 김천시
04,13241,경상북도 김천시
05,13248,경상북도 김천시
06,11222,경상북도 김천시
07,11854,경상북도 김천시
08,13959,경상북도 김천시
09,11478,경상북도 김천시
10,11721,경상북도 김천시
11,11545,경상북도 김천시
12,11540,경상북도 김천시
01,8421,경상북도 문경시
02,6820,경상북도 문경시
03,8698,경상북도 문경시
04,11255,경상북도 문경시
05,11423,경상북도 문경시
06,14533,경상북도 문경시
07,16331,경상북도 문경시
08,14896,경상북도 문경시
09,12368,경상북도 문경시
10,14656,경상북도 문경시
11,12303,경상북도 문경시
12,11553,경상북도 문경시
01,5734,경상북도 봉화군
02,4320,경상북도 봉화군
03,5265,경상북도 봉화군
04,6471,경상북도 봉화군
05,6995,경상북도 봉화군
06,5752,경상북도 봉화군
07,10672,경상북도 봉화군
08,7778,경상북도 봉화군
09,6114,경상북도 봉화군
10,5991,경상북도 봉화군
11,7176,경상북도 봉화군
12,6258,경상북도 봉화군
01,9903,경상북도 상주시
02,9423,경상북도 상주시
03,9161,경상북도 상주시
04,11785,경상북도 상주시
05,12952,경상북도 상주시
06,9838,경상북도 상주시
07,10682,경상북도 상주시
08,13189,경상북도 상주시
09,9915,경상북도 상주시
10,13481,경상북도 상주시
11,12032,경상북도 상주시
12,11692,경상북도 상주시
01,4779,경상북도 성주군
02,4714,경상북도 성주군
03,6126,경상북도 성주군
04,9164,경상북도 성주군
05,7808,경상북도 성주군
06,6278,경상북도 성주군
07,6300,경상북도 성주군
08,8014,경상북도 성주군
09,5616,경상북도 성주군
10,6582,경상북도 성주군
11,4946,경상북도 성주군
12,5363,경상북도 성주군
01,19671,경상북도 안동시
02,18483,경상북도 안동시
03,19669,경상북도 안동시
04,24088,경상북도 안동시
05,23985,경상북도 안동시
06,23802,경상북도 안동시
07,22382,경상북도 안동시
08,27149,경상북도 안동시
09,22289,경상북도 안동시
10,29056,경상북도 안동시
11,27556,경상북도 안동시
12,23168,경상북도 안동시
01,12599,경상북도 영덕군
02,12573,경상북도 영덕군
03,15102,경상북도 영덕군
04,14087,경상북도 영덕군
05,14386,경상북도 영덕군
06,15702,경상북도 영덕군
07,20043,경상북도 영덕군
08,22694,경상북도 영덕군
09,18536,경상북도 영덕군
10,20072,경상북도 영덕군
11,18356,경상북도 영덕군
12,20139,경상북도 영덕군
01,7088,경상북도 영양군
02,8114,경상북도 영양군
03,9271,경상북도 영양군
04,11267,경상북도 영양군
05,11303,경상북도 영양군
06,10801,경상북도 영양군
07,10093,경상북도 영양군
08,11469,경상북도 영양군
09,10661,경상북도 영양군
10,10788,경상북도 영양군
11,10916,경상북도 영양군
12,9110,경상북도 영양군
01,9136,경상북도 영주시
02,8025,경상북도 영주시
03,9763,경상북도 영주시
04,10723,경상북도 영주시
05,11996,경상북도 영주시
06,11655,경상북도 영주시
07,15603,경상북도 영주시
08,12712,경상북도 영주시
09,10669,경상북도 영주시
10,13037,경상북도 영주시
11,11390,경상북도 영주시
12,11207,경상북도 영주시
01,6974,경상북도 영천시
02,7471,경상북도 영천시
03,8771,경상북도 영천시
04,10551,경상북도 영천시
05,11539,경상북도 영천시
06,10200,경상북도 영천시
07,9951,경상북도 영천시
08,10744,경상북도 영천시
09,9794,경상북도 영천시
10,10846,경상북도 영천시
11,10536,경상북도 영천시
12,9350,경상북도 영천시
01,5438,경상북도 예천군
02,5158,경상북도 예천군
03,5759,경상북도 예천군
04,7859,경상북도 예천군
05,7327,경상북도 예천군
06,6386,경상북도 예천군
07,28378,경상북도 예천군
08,10491,경상북도 예천군
09,7575,경상북도 예천군
10,6742,경상북도 예천군
11,7582,경상북도 예천군
12,7794,경상북도 예천군
01,3271,경상북도 울릉군
02,3726,경상북도 울릉군
03,3268,경상북도 울릉군
04,5001,경상북도 울릉군
05,5059,경상북도 울릉군
06,6971,경상북도 울릉군
07,7121,경상북도 울릉군
08,9016,경상북도 울릉군
09,5998,경상북도 울릉군
10,6414,경상북도 울릉군
11,4793,경상북도 울릉군
12,3874,경상북도 울릉군
01,8528,경상북도 울진군
02,8310,경상북도 울진군
03,7699,경상북도 울진군
04,10505,경상북도 울진군
05,9745,경상북도 울진군
06,11556,경상북도 울진군
07,12025,경상북도 울진군
08,14195,경상북도 울진군
09,11085,경상북도 울진군
10,11282,경상북도 울진군
11,10517,경상북도 울진군
12,12041,경상북도 울진군
01,4418,경상북도 의성군
02,3980,경상북도 의성군
03,5810,경상북도 의성군
04,6683,경상북도 의성군
05,6004,경상북도 의성군
06,6380,경상북도 의성군
07,6645,경상북도 의성군
08,6889,경상북도 의성군
09,5186,경상북도 의성군
10,6188,경상북도 의성군
11,5689,경상북도 의성군
12,4918,경상북도 의성군
01,7671,경상북도 청도군
02,8170,경상북도 청도군
03,10725,경상북도 청도군
04,10884,경상북도 청도군
05,10808,경상북도 청도군
06,11605,경상북도 청도군
07,10381,경상북도 청도군
08,13314,경상북도 청도군
09,10189,경상북도 청도군
10,12983,경상북도 청도군
11,12308,경상북도 청도군
12,9987,경상북도 청도군
01,4968,경상북도 청송군
02,4139,경상북도 청송군
03,4223,경상북도 청송군
04,4353,경상북도 청송군
05,4833,경상북도 청송군
06,5498,경상북도 청송군
07,4701,경상북도 청송군
08,5339,경상북도 청송군
09,5363,경상북도 청송군
10,7253,경상북도 청송군
11,6775,경상북도 청송군
12,4977,경상북도 청송군
01,11482,경상북도 칠곡군
02,9391,경상북도 칠곡군
03,9583,경상북도 칠곡군
04,11409,경상북도 칠곡군
05,11484,경상북도 칠곡군
06,12414,경상북도 칠곡군
07,14567,경상북도 칠곡군
08,13320,경상북도 칠곡군
09,11765,경상북도 칠곡군
10,14035,경상북도 칠곡군
11,11437,경상북도 칠곡군
12,12923,경상북도 칠곡군
01,13842,경상북도 포항시 남구
02,13014,경상북도 포항시 남구
03,15504,경상북도 포항시 남구
04,15299,경상북도 포항시 남구
05,17588,경상북도 포항시 남구
06,18029,경상북도 포항시 남구
07,18410,경상북도 포항시 남구
08,20949,경상북도 포항시 남구
09,19214,경상북도 포항시 남구
10,20321,경상북도 포항시 남구
11,22184,경상북도 포항시 남구
12,23618,경상북도 포항시 남구
01,18980,경상북도 포항시 북구
02,17552,경상북도 포항시 북구
03,19937,경상북도 포항시 북구
04,19793,경상북도 포항시 북구
05,22273,경상북도 포항시 북구
06,24244,경상북도 포항시 북구
07,23105,경상북도 포항시 북구
08,27307,경상북도 포항시 북구
09,22690,경상북도 포항시 북구
10,25478,경상북도 포항시 북구
11,22935,경상북도 포항시 북구
12,27118,경상북도 포항시 북구
01,28565,경상남도 거제시
02,28623,경상남도 거제시
03,31472,경상남도 거제시
04,33852,경상남도 거제시
05,39723,경상남도 거제시
06,42003,경상남도 거제시
07,47747,경상남도 거제시
08,48114,경상남도 거제시
09,37693,경상남도 거제시
10,39757,경상남도 거제시
11,36432,경상남도 거제시
12,36297,경상남도 거제시
01,5904,경상남도 거창군
02,7418,경상남도 거창군
03,6712,경상남도 거창군
04,6760,경상남도 거창군
05,9123,경상남도 거창군
06,7848,경상남도 거창군
07,9541,경상남도 거창군
08,10262,경상남도 거창군
09,8774,경상남도 거창군
10,12549,경상남도 거창군
11,9375,경상남도 거창군
12,9629,경상남도 거창군
01,18099,경상남도 남해군
02,18841,경상남도 남해군
03,21695,경상남도 남해군
04,21123,경상남도 남해군
05,28030,경상남도 남해군
06,28885,경상남도 남해군
07,29242,경상남도 남해군
08,34485,경상남도 남해군
09,27228,경상남도 남해군
10,27982,경상남도 남해군
11,24007,경상남도 남해군
12,24364,경상남도 남해군
01,11820,경상남도 밀양시
02,13075,경상남도 밀양시
03,13459,경상남도 밀양시
04,12719,경상남도 밀양시
05,14920,경상남도 밀양시
06,14656,경상남도 밀양시
07,16025,경상남도 밀양시
08,17500,경상남도 밀양시
09,13647,경상남도 밀양시
10,14644,경상남도 밀양시
11,14105,경상남도 밀양시
12,12513,경상남도 밀양시
01,15405,울산광역시 울주군
02,16549,울산광역시 울주군
03,20140,울산광역시 울주군
04,18966,울산광역시 울주군
05,21163,울산광역시 울주군
06,20860,울산광역시 울주군
07,23051,울산광역시 울주군
08,26107,울산광역시 울주군
09,20724,울산광역시 울주군
10,23241,울산광역시 울주군
11,20399,울산광역시 울주군
12,19517,울산광역시 울주군
01,11220,경상남도 사천시
02,13178,경상남도 사천시
03,14458,경상남도 사천시
04,13601,경상남도 사천시
05,15767,경상남도 사천시
06,15502,경상남도 사천시
07,15599,경상남도 사천시
08,17138,경상남도 사천시
09,15834,경상남도 사천시
10,16316,경상남도 사천시
11,15645,경상남도 사천시
12,14219,경상남도 사천시
01,6704,경상남도 산청군
02,6546,경상남도 산청군
03,7152,경상남도 산청군
04,7171,경상남도 산청군
05,9600,경상남도 산청군
06,8173,경상남도 산청군
07,9040,경상남도 산청군
08,11662,경상남도 산청군
09,10880,경상남도 산청군
10,9955,경상남도 산청군
11,7246,경상남도 산청군
12,6600,경상남도 산청군
01,23998,경상남도 양산시
02,24689,경상남도 양산시
03,31320,경상남도 양산시
04,26650,경상남도 양산시
05,31477,경상남도 양산시
06,35650,경상남도 양산시
07,32802,경상남도 양산시
08,37082,경상남도 양산시
09,32813,경상남도 양산시
10,33252,경상남도 양산시
11,33236,경상남도 양산시
12,32684,경상남도 양산시
01,3223,경상남도 의령군
02,3988,경상남도 의령군
03,4110,경상남도 의령군
04,4786,경상남도 의령군
05,4360,경상남도 의령군
06,4504,경상남도 의령군
07,5323,경상남도 의령군
08,4812,경상남도 의령군
09,5264,경상남도 의령군
10,5915,경상남도 의령군
11,4222,경상남도 의령군
12,4101,경상남도 의령군
01,26458,경상남도 진주시
02,26481,경상남도 진주시
03,30710,경상남도 진주시
04,28080,경상남도 진주시
05,32702,경상남도 진주시
06,30282,경상남도 진주시
07,34411,경상남도 진주시
08,36938,경상남도 진주시
09,31592,경상남도 진주시
10,39507,경상남도 진주시
11,36273,경상남도 진주시
12,33664,경상남도 진주시
01,4958,경상남도 창녕군
02,5652,경상남도 창녕군
03,6423,경상남도 창녕군
04,8093,경상남도 창녕군
05,8166,경상남도 창녕군
06,6237,경상남도 창녕군
07,6255,경상남도 창녕군
08,5828,경상남도 창녕군
09,6238,경상남도 창녕군
10,6910,경상남도 창녕군
11,5811,경상남도 창녕군
12,4840,경상남도 창녕군
01,7901,경상남도 창원시 마산합포구
02,7445,경상남도 창원시 마산합포구
03,8973,경상남도 창원시 마산합포구
04,9844,경상남도 창원시 마산합포구
05,10260,경상남도 창원시 마산합포구
06,11934,경상남도 창원시 마산합포구
07,11200,경상남도 창원시 마산합포구
08,12221,경상남도 창원시 마산합포구
09,10847,경상남도 창원시 마산합포구
10,13175,경상남도 창원시 마산합포구
11,12224,경상남도 창원시 마산합포구
12,12891,경상남도 창원시 마산합포구
01,4900,경상남도 창원시 마산회원구
02,4483,경상남도 창원시 마산회원구
03,5351,경상남도 창원시 마산회원구
04,5509,경상남도 창원시 마산회원구
05,7387,경상남도 창원시 마산회원구
06,8026,경상남도 창원시 마산회원구
07,7751,경상남도 창원시 마산회원구
08,8239,경상남도 창원시 마산회원구
09,7683,경상남도 창원시 마산회원구
10,8082,경상남도 창원시 마산회원구
11,7746,경상남도 창원시 마산회원구
12,7636,경상남도 창원시 마산회원구
01,19250,경상남도 창원시 성산구
02,18433,경상남도 창원시 성산구
03,20482,경상남도 창원시 성산구
04,19995,경상남도 창원시 성산구
05,24771,경상남도 창원시 성산구
06,24125,경상남도 창원시 성산구
07,26181,경상남도 창원시 성산구
08,28097,경상남도 창원시 성산구
09,28195,경상남도 창원시 성산구
10,31239,경상남도 창원시 성산구
11,32920,경상남도 창원시 성산구
12,31846,경상남도 창원시 성산구
01,9904,경상남도 창원시 의창구
02,9298,경상남도 창원시 의창구
03,11551,경상남도 창원시 의창구
04,11801,경상남도 창원시 의창구
05,13539,경상남도 창원시 의창구
06,12727,경상남도 창원시 의창구
07,13710,경상남도 창원시 의창구
08,13410,경상남도 창원시 의창구
09,12708,경상남도 창원시 의창구
10,12742,경상남도 창원시 의창구
11,14062,경상남도 창원시 의창구
12,14495,경상남도 창원시 의창구
01,11470,경상남도 창원시 진해구
02,12245,경상남도 창원시 진해구
03,20446,경상남도 창원시 진해구
04,16282,경상남도 창원시 진해구
05,16089,경상남도 창원시 진해구
06,14019,경상남도 창원시 진해구
07,13651,경상남도 창원시 진해구
08,14583,경상남도 창원시 진해구
09,14601,경상남도 창원시 진해구
10,15579,경상남도 창원시 진해구
11,17250,경상남도 창원시 진해구
12,17133,경상남도 창원시 진해구
01,16138,경상남도 통영시
02,18383,경상남도 통영시
03,21786,경상남도 통영시
04,19915,경상남도 통영시
05,26951,경상남도 통영시
06,28925,경상남도 통영시
07,28928,경상남도 통영시
08,33069,경상남도 통영시
09,24971,경상남도 통영시
10,30198,경상남도 통영시
11,25552,경상남도 통영시
12,23057,경상남도 통영시
01,7397,경상남도 하동군
02,8661,경상남도 하동군
03,14131,경상남도 하동군
04,12294,경상남도 하동군
05,14905,경상남도 하동군
06,11650,경상남도 하동군
07,10594,경상남도 하동군
08,12481,경상남도 하동군
09,9957,경상남도 하동군
10,11620,경상남도 하동군
11,11100,경상남도 하동군
12,8972,경상남도 하동군
01,4711,경상남도 함안군
02,5380,경상남도 함안군
03,5699,경상남도 함안군
04,7156,경상남도 함안군
05,11095,경상남도 함안군
06,8217,경상남도 함안군
07,8646,경상남도 함안군
08,6563,경상남도 함안군
09,7154,경상남도 함안군
10,8792,경상남도 함안군
11,6408,경상남도 함안군
12,5665,경상남도 함안군
01,5224,경상남도 함양군
02,6408,경상남도 함양군
03,5794,경상남도 함양군
04,6123,경상남도 함양군
05,8648,경상남도 함양군
06,8914,경상남도 함양군
07,8998,경상남도 함양군
08,9941,경상남도 함양군
09,9307,경상남도 함양군
10,7987,경상남도 함양군
11,8517,경상남도 함양군
12,6566,경상남도 함양군
01,5833,경상남도 합천군
02,6204,경상남도 합천군
03,8387,경상남도 합천군
04,8983,경상남도 합천군
05,12681,경상남도 합천군
06,10378,경상남도 합천군
07,8522,경상남도 합천군
08,9228,경상남도 합천군
09,9744,경상남도 합천군
10,14626,경상남도 합천군
11,9729,경상남도 합천군
12,9310,경상남도 합천군
01,151550,제주특별자치도 제주시
02,152028,제주특별자치도 제주시
03,180707,제주특별자치도 제주시
04,172347,제주특별자치도 제주시
05,193276,제주특별자치도 제주시
06,229775,제주특별자치도 제주시
07,249099,제주특별자치도 제주시
08,247523,제주특별자치도 제주시
09,216956,제주특별자치도 제주시
10,210445,제주특별자치도 제주시
11,212626,제주특별자치도 제주시
12,219698,제주특별자치도 제주시
01,140303,제주특별자치도 서귀포시
02,135710,제주특별자치도 서귀포시
03,153418,제주특별자치도 서귀포시
04,142202,제주특별자치도 서귀포시
05,155854,제주특별자치도 서귀포시
06,164972,제주특별자치도 서귀포시
07,175350,제주특별자치도 서귀포시
08,179596,제주특별자치도 서귀포시
09,161524,제주특별자치도 서귀포시
10,163777,제주특별자치도 서귀포시
11,164157,제주특별자치도 서귀포시
12,171626,제주특별자치도 서귀포시
